user_id,username,followers,following,total_posts,bio
1,user_1,305856,2358,571,Tech Enthusiast
2,user_2,903654,3870,291,Tech Enthusiast
3,user_3,616400,2212,421,Tech Enthusiast
4,user_4,288650,4444,666,Traveler
5,user_5,701904,4470,950,Foodie
6,user_6,58110,4016,388,Fitness Trainer
7,user_7,949444,2464,662,Lifestyle Blogger
8,user_8,136101,2205,168,Lifestyle Blogger
9,user_9,825744,3571,599,Fitness Trainer
10,user_10,460590,4807,955,Lifestyle Blogger
11,user_11,804992,2176,261,Foodie
12,user_12,112577,2756,927,Foodie
13,user_13,394283,267,784,Tech Enthusiast
14,user_14,552994,4123,309,Fitness Trainer
15,user_15,178680,4838,712,Tech Enthusiast
16,user_16,934464,831,600,Foodie
17,user_17,238707,1765,115,Traveler
18,user_18,398793,3029,965,Tech Enthusiast
19,user_19,257341,2899,222,Lifestyle Blogger
20,user_20,89024,605,389,Foodie
21,user_21,53631,1655,496,Tech Enthusiast
22,user_22,841170,3737,355,Foodie
23,user_23,403843,4702,688,Tech Enthusiast
24,user_24,351322,596,860,Traveler
25,user_25,580673,2512,243,Lifestyle Blogger
26,user_26,404144,195,511,Tech Enthusiast
27,user_27,83892,4310,826,Fitness Trainer
28,user_28,687318,1575,213,Foodie
29,user_29,205480,1678,709,Traveler
30,user_30,487341,453,692,Foodie
31,user_31,86724,3787,588,Lifestyle Blogger
32,user_32,894146,1959,729,Traveler
33,user_33,114670,482,978,Fitness Trainer
34,user_34,290141,4559,439,Fitness Trainer
35,user_35,184193,2966,168,Tech Enthusiast
36,user_36,503441,1428,711,Tech Enthusiast
37,user_37,701673,1444,263,Traveler
38,user_38,827488,3882,853,Fitness Trainer
39,user_39,556741,452,446,Fitness Trainer
40,user_40,926555,1653,255,Tech Enthusiast
41,user_41,193228,3823,188,Traveler
42,user_42,112800,543,413,Foodie
43,user_43,879184,3840,312,Lifestyle Blogger
44,user_44,351941,833,472,Foodie
45,user_45,570814,4711,246,Tech Enthusiast
46,user_46,693221,3939,438,Fitness Trainer
47,user_47,517946,4122,850,Traveler
48,user_48,29955,371,208,Traveler
49,user_49,699143,3465,345,Foodie
50,user_50,895704,1515,72,Foodie
51,user_51,224368,551,806,Traveler
52,user_52,278130,4168,975,Traveler
53,user_53,618861,4624,509,Foodie
54,user_54,227071,2597,541,Lifestyle Blogger
55,user_55,757201,2063,231,Foodie
56,user_56,14232,1619,461,Foodie
57,user_57,166388,4817,889,Tech Enthusiast
58,user_58,302820,2808,954,Tech Enthusiast
59,user_59,697467,1184,378,Traveler
60,user_60,523788,3667,314,Traveler
61,user_61,918687,1767,625,Tech Enthusiast
62,user_62,191640,258,594,Lifestyle Blogger
63,user_63,290265,1981,480,Lifestyle Blogger
64,user_64,365091,4648,528,Tech Enthusiast
65,user_65,288090,1198,329,Lifestyle Blogger
66,user_66,591668,3815,426,Foodie
67,user_67,325319,1609,761,Lifestyle Blogger
68,user_68,706940,305,726,Tech Enthusiast
69,user_69,836827,3861,674,Tech Enthusiast
70,user_70,221206,1736,471,Fitness Trainer
71,user_71,696021,3357,117,Tech Enthusiast
72,user_72,642901,2507,459,Foodie
73,user_73,143714,3871,145,Lifestyle Blogger
74,user_74,542781,491,949,Tech Enthusiast
75,user_75,40852,2401,647,Lifestyle Blogger
76,user_76,612887,4342,231,Tech Enthusiast
77,user_77,481649,2772,442,Fitness Trainer
78,user_78,981801,3621,915,Lifestyle Blogger
79,user_79,838804,786,407,Foodie
80,user_80,292693,4588,836,Traveler
81,user_81,759576,2069,289,Traveler
82,user_82,571767,4626,424,Foodie
83,user_83,954374,3001,252,Tech Enthusiast
84,user_84,769131,2048,452,Foodie
85,user_85,743555,1888,897,Fitness Trainer
86,user_86,201962,1864,629,Foodie
87,user_87,715511,4682,643,Lifestyle Blogger
88,user_88,293799,958,597,Lifestyle Blogger
89,user_89,185754,3674,239,Traveler
90,user_90,785352,658,284,Traveler
91,user_91,718449,1731,329,Foodie
92,user_92,672657,828,978,Fitness Trainer
93,user_93,370680,510,745,Foodie
94,user_94,109707,4115,83,Fitness Trainer
95,user_95,997805,1607,255,Lifestyle Blogger
96,user_96,798552,2414,508,Foodie
97,user_97,765134,2833,120,Tech Enthusiast
98,user_98,519880,1969,133,Traveler
99,user_99,774320,351,78,Foodie
100,user_100,808526,1179,53,Tech Enthusiast
101,user_101,318928,530,780,Foodie
102,user_102,825838,931,131,Lifestyle Blogger
103,user_103,537288,3177,709,Traveler
104,user_104,401820,4714,646,Fitness Trainer
105,user_105,71434,4231,544,Fitness Trainer
106,user_106,692286,3095,756,Tech Enthusiast
107,user_107,737437,1821,609,Tech Enthusiast
