user_id,username,followers,following,total_posts,total_engagements,avg_likes,avg_comments
220,user_220,348289,2761,715,9,10781.0000,1502.6667
619,user_619,287188,4808,305,9,10258.4444,1991.2222
968,user_968,390316,4666,706,9,8158.4444,3049.2222
1409,user_1409,921198,1239,376,9,12303.1111,2786.5556
3003,user_3003,542361,2160,684,9,9065.0000,2902.3333
4901,user_4901,270541,4828,211,9,9969.7778,2176.0000
920,user_920,912947,1009,132,8,8617.7500,2942.8750
2619,user_2619,2902,1605,383,8,9583.8750,2355.2500
3021,user_3021,994659,3403,256,8,11803.6250,2295.2500
3700,user_3700,894894,3056,646,8,9006.5000,2823.5000
79,user_79,838804,786,407,7,13326.2857,2870.1429
612,user_612,915436,1667,84,7,11469.4286,3134.4286
868,user_868,975776,862,345,7,7133.4286,2518.1429
1136,user_1136,719977,4516,408,7,8547.7143,2623.4286
1175,user_1175,286907,2658,146,7,10419.0000,1638.0000
1314,user_1314,822255,652,117,7,10094.2857,3112.8571
1428,user_1428,456937,3521,940,7,7162.5714,2799.8571
2109,user_2109,781613,1681,825,7,7702.0000,1734.7143
2157,user_2157,838514,351,720,7,10266.2857,2703.5714
2304,user_2304,223314,2228,197,7,8284.4286,2906.8571
2476,user_2476,679688,2025,973,7,7576.7143,2896.5714
2754,user_2754,296783,2872,672,7,9204.7143,2173.1429
2936,user_2936,339377,4344,756,7,10019.7143,2823.7143
2977,user_2977,507161,2999,232,7,5845.4286,1659.7143
3109,user_3109,660397,1616,260,7,9816.2857,1873.5714
3118,user_3118,877162,3987,311,7,12190.5714,1067.2857
4092,user_4092,428893,2468,662,7,9198.0000,1852.8571
4136,user_4136,907039,4274,546,7,9950.1429,2285.4286
4353,user_4353,562161,3607,976,7,12156.7143,2524.0000
4842,user_4842,647675,3553,867,7,13038.4286,2394.0000
4947,user_4947,185093,1652,808,7,9533.8571,2643.5714
28,user_28,687318,1575,213,6,9307.8333,2416.6667
42,user_42,112800,543,413,6,6421.0000,2138.6667
49,user_49,699143,3465,345,6,10591.3333,1615.6667
55,user_55,757201,2063,231,6,10673.8333,2825.8333
99,user_99,774320,351,78,6,7224.5000,2621.1667
148,user_148,81404,774,442,6,11045.5000,1969.6667
194,user_194,120484,415,298,6,13109.5000,2011.3333
268,user_268,583674,4157,150,6,10898.6667,1306.3333
302,user_302,210362,3086,174,6,13324.6667,3197.5000
324,user_324,626015,3449,794,6,12595.1667,1906.8333
440,user_440,214036,3198,491,6,7740.1667,3072.5000
568,user_568,575339,2108,161,6,11612.1667,1428.8333
606,user_606,282213,379,283,6,10885.5000,3469.1667
717,user_717,371732,3774,234,6,8888.0000,1496.3333
1008,user_1008,451675,3682,703,6,8392.6667,2710.0000
1027,user_1027,866127,556,120,6,10507.3333,1380.6667
1147,user_1147,959894,2925,907,6,10416.8333,3004.3333
1329,user_1329,257675,1883,304,6,12491.5000,2534.0000
1494,user_1494,411744,4510,410,6,6785.1667,2678.5000
1617,user_1617,216036,4805,808,6,12429.0000,2724.3333
1694,user_1694,836471,4830,818,6,7744.8333,1158.8333
1776,user_1776,831143,3022,770,6,11189.0000,2792.0000
1901,user_1901,739499,559,70,6,11446.1667,2657.1667
2008,user_2008,423767,361,836,6,10661.1667,2701.0000
2037,user_2037,335051,2362,350,6,9419.0000,2097.3333
2121,user_2121,914800,445,893,6,9621.3333,2636.1667
2431,user_2431,972568,1867,174,6,11871.5000,2396.6667
2447,user_2447,893805,341,839,6,13511.1667,2518.1667
2459,user_2459,628858,4776,232,6,10238.5000,2341.8333
2594,user_2594,621289,1186,750,6,11585.1667,2131.0000
2689,user_2689,224097,3794,717,6,8234.8333,2318.5000
3000,user_3000,174420,1924,187,6,9268.5000,2542.5000
3076,user_3076,108091,383,497,6,13290.1667,3001.1667
3139,user_3139,350463,3749,408,6,12270.5000,2826.6667
3197,user_3197,237232,4134,88,6,13070.0000,3216.6667
3207,user_3207,290008,3550,463,6,8035.3333,2950.5000
3271,user_3271,182420,1169,261,6,8588.8333,1907.8333
3320,user_3320,950448,874,860,6,5018.6667,1982.5000
3388,user_3388,997321,4856,408,6,12902.1667,2312.1667
3458,user_3458,139100,374,274,6,11236.3333,2710.8333
3559,user_3559,857297,2470,996,6,9947.3333,2245.1667
3713,user_3713,691868,4504,926,6,9956.8333,2406.1667
3762,user_3762,116119,1614,833,6,5705.3333,1584.1667
3837,user_3837,35917,3581,970,6,7026.6667,3516.8333
3932,user_3932,775701,2816,320,6,10372.1667,1616.3333
3965,user_3965,813478,2579,788,6,12896.0000,3084.1667
4173,user_4173,119869,3706,244,6,11367.0000,3232.0000
4175,user_4175,300922,3158,996,6,11229.5000,2832.8333
4409,user_4409,603690,293,149,6,9146.6667,2996.8333
4543,user_4543,802179,209,228,6,12402.3333,2373.8333
4549,user_4549,107947,1263,855,6,11970.1667,2127.1667
4600,user_4600,849823,1796,810,6,10078.1667,2692.0000
4608,user_4608,629919,3645,455,6,9431.5000,1881.0000
4651,user_4651,771501,3188,349,6,11071.3333,2090.6667
4751,user_4751,222554,2556,991,6,12361.5000,2609.1667
4784,user_4784,225315,3671,958,6,9519.5000,2284.1667
4884,user_4884,807168,3239,476,6,14393.8333,3259.8333
4908,user_4908,54484,1171,968,6,4974.8333,3485.5000
4962,user_4962,213493,3322,751,6,9324.1667,2095.5000
150,user_150,758023,906,776,5,9427.8000,2111.6000
170,user_170,876422,627,499,5,8080.8000,3245.6000
183,user_183,359471,2910,702,5,7726.4000,3254.2000
206,user_206,550176,3985,954,5,11780.8000,2181.0000
245,user_245,688962,884,101,5,12435.6000,2645.0000
294,user_294,161932,4054,286,5,7465.4000,1997.0000
309,user_309,300529,1967,463,5,9837.0000,2828.0000
420,user_420,110132,4826,867,5,7680.8000,2342.0000
427,user_427,930785,1770,691,5,11166.8000,2195.8000
464,user_464,778604,1211,347,5,8987.2000,1725.0000
475,user_475,184885,1893,821,5,12286.6000,3208.2000
537,user_537,826727,3291,616,5,11287.4000,1697.2000
634,user_634,594985,4479,970,5,6603.8000,2389.6000
678,user_678,379953,4420,453,5,10059.4000,2583.4000
757,user_757,679462,1818,495,5,9418.0000,1918.8000
764,user_764,588133,1428,661,5,6864.6000,2587.2000
823,user_823,932843,115,753,5,12224.6000,2602.2000
843,user_843,278355,1671,226,5,8453.0000,2812.6000
887,user_887,304022,2643,945,5,13672.8000,2529.4000
903,user_903,38158,319,557,5,4847.0000,1640.2000
952,user_952,181435,3018,977,5,11349.8000,2372.8000
956,user_956,904623,2465,120,5,6418.4000,2001.8000
1014,user_1014,472651,3866,474,5,4941.2000,2316.2000
1105,user_1105,518379,2704,346,5,10670.8000,2183.8000
1109,user_1109,358113,3215,791,5,12411.6000,1430.2000
1116,user_1116,468705,1390,578,5,12605.4000,3152.0000
1123,user_1123,981440,4465,357,5,11294.6000,2851.0000
1134,user_1134,64364,944,437,5,9514.0000,3665.6000
1140,user_1140,510750,3000,545,5,8297.6000,2808.8000
1141,user_1141,198180,1106,862,5,12497.6000,2275.6000
1163,user_1163,215429,4544,357,5,13625.0000,3085.4000
1202,user_1202,772342,1699,995,5,11601.0000,2843.6000
